ticker,date,pd_gbm,pd_jump_rolling,pd_regime_jump,label
F,2023-02-27 05:00:00,0.0092885791826132,0.08677,0.07174,0.0
F,2023-03-30 04:00:00,0.0072702392210965,0.07489,0.06432,0.0
F,2023-04-28 04:00:00,0.0070935592530948,0.07467,0.06783,0.0
F,2023-05-30 04:00:00,0.0050134714273617,0.05959,0.05697,0.0
F,2023-06-29 04:00:00,0.0031488387101237,0.03331,0.03811,0.0
F,2023-07-28 04:00:00,0.0028871969563507,0.04556,0.0502,0.0
F,2023-08-30 04:00:00,0.0020547601544731,0.00226,0.06669,0.0
F,2023-09-29 04:00:00,0.0009236997653618,0.00107,0.07765,0.0
F,2023-10-30 04:00:00,0.0011671263485287,0.00136,0.00136,0.0
F,2023-11-29 05:00:00,0.0011049424696044,0.0013,0.07127,0.0
F,2023-12-29 05:00:00,0.0008396331098516,0.00099,0.08342,0.0
F,2024-01-30 05:00:00,0.0007369125321744,0.00082,0.10022,0.0
F,2024-02-28 05:00:00,0.0005382598025206,0.00061,0.0894,0.0
F,2024-03-28 04:00:00,0.0004404116762683,0.00054,0.08875,0.0
F,2024-04-29 04:00:00,0.0004753537129503,0.00057,0.08719,0.0
F,2024-05-30 04:00:00,0.0003921556232307,0.00051,0.0778,0.0
F,2024-06-28 04:00:00,0.0002773740875564,0.00027,0.06217,0.0
F,2024-07-30 04:00:00,0.0019605978053905,0.00212,0.15333,0.0
F,2024-08-30 04:00:00,0.0022800960219046,0.14047,0.14311,0.0
F,2024-09-27 04:00:00,0.0024878496619042,0.14694,0.15042,0.0
F,2024-10-30 04:00:00,0.0019313300534919,0.16103,0.16185,0.0
F,2024-11-29 05:00:00,0.0016988825981517,0.147,0.14716,0.0
F,2024-12-30 05:00:00,0.0015228693860693,0.16954,0.17073,0.0
F,2025-01-30 05:00:00,0.0015724951668365,0.17381,0.19839,0.0
F,2025-02-27 05:00:00,0.0014932397168414,0.18876,0.19067,0.0
F,2025-03-28 04:00:00,0.0016719042165187,0.18005,0.13974,0.0
F,2025-04-29 04:00:00,0.0024844441532353,0.18362,0.1665,0.0
F,2025-05-30 04:00:00,0.0022145059744329,0.17674,0.15942,0.0
F,2025-06-27 04:00:00,0.002210123506454,0.16858,0.15175,0.0
CCL,2022-12-30 05:00:00,0.1093456159265677,0.11068,0.12285,0.0
CCL,2023-01-30 05:00:00,0.0999609601433159,0.10146,0.10464,0.0
CCL,2023-02-27 05:00:00,0.0955347946754428,0.09713,0.10278,0.0
CCL,2023-03-30 04:00:00,0.0932237310989165,0.09467,0.10057,0.0
CCL,2023-04-28 04:00:00,0.0940925314582762,0.09571,0.10382,0.0
CCL,2023-05-30 04:00:00,0.0752119922316063,0.07645,0.08581,0.0
CCL,2023-06-29 04:00:00,0.0507091388796178,0.05207,0.06087,0.0
CCL,2023-07-28 04:00:00,0.0322729543636699,0.03254,0.03254,0.0
CCL,2023-08-30 04:00:00,0.0320325196213696,0.03237,0.0485,0.0
CCL,2023-09-29 04:00:00,0.0326832818656001,0.03299,0.06721,0.0
CCL,2023-10-30 04:00:00,0.0142437776379404,0.01454,0.01454,0.0
CCL,2023-11-29 05:00:00,0.0064248988453213,0.00677,0.05505,0.0
CCL,2023-12-29 05:00:00,0.0040359786750113,0.00428,0.03283,0.0
CCL,2024-01-30 05:00:00,0.0045852510798934,0.00492,0.04185,0.0
CCL,2024-02-28 05:00:00,0.004531261050909,0.00484,0.04756,0.0
